"Date(UTC)","Julian Date","MET","TS","Photon Flux [0.1-100 GeV](photons cm-2 s-1)","Photon Flux Error(photons cm-2 s-1)","Photon Index","Photon Index Error","Fit Tolerance","MINUIT Return Code","Analysis Log"
"Aug 05 2010","2455415","302702401","53.27","1.92e-7","4.90e-8","-2.1","-","1e-8","0","bin244.log"
"Aug 08 2010","2455418","302961601","39.79","1.92e-7","5.10e-8","-2.1","-","1e-8","0","bin245.log"
"Aug 11 2010","2455421","303220801","43.29","1.72e-7","4.50e-8","-2.1","-","1e-8","0","bin246.log"
"Aug 14 2010","2455424","303480001","260.9","6.43e-7","7.90e-8","-2.1","-","1e-8","0","bin247.log"
"Aug 17 2010","2455427","303739201","467.49","8.16e-7","8.30e-8","-2.1","-","1e-8","0","bin248.log"
"Aug 20 2010","2455430","303998401","484.35","8.54e-7","8.50e-8","-2.1","-","1e-8","0","bin249.log"
"Aug 23 2010","2455433","304257601","386.84","7.54e-7","7.80e-8","-2.1","-","1e-8","0","bin250.log"
"Aug 26 2010","2455436","304516801","625.9","1.12e-6","1.00e-7","-2.1","-","1e-8","0","bin251.log"
"Aug 29 2010","2455439","304776001","291.78","7.02e-7","8.10e-8","-2.1","-","1e-8","0","bin252.log"
"Sep 01 2010","2455441","305035201","279.11","5.45e-7","7.10e-8","-2.1","-","1e-8","0","bin253.log"
"Sep 04 2010","2455444","305294401","270.38","5.99e-7","7.40e-8","-2.1","-","1e-8","0","bin254.log"
"Sep 07 2010","2455447","305553601","278.7","5.22e-7","6.60e-8","-2.1","-","1e-8","0","bin255.log"
"Sep 10 2010","2455450","305812801","112.67","3.39e-7","6.10e-8","-2.1","-","1e-8","0","bin256.log"
"Sep 13 2010","2455453","306072001","73.59","2.74e-7","5.70e-8","-2.1","-","1e-8","0","bin257.log"
"Sep 16 2010","2455456","306331201","94.56","2.79e-7","5.70e-8","-2.1","-","1e-8","0","bin258.log"
"Sep 19 2010","2455459","306590401","79.4","3.17e-7","6.20e-8","-2.1","-","1e-8","0","bin259.log"
"Sep 22 2010","2455462","306849601","39.65","2.00e-7","5.50e-8","-2.1","-","1e-8","0","bin260.log"
"Sep 25 2010","2455465","307108801","80.06","4.63e-7","9.70e-8","-2.1","-","1e-8","0","bin261.log"
"Sep 28 2010","2455468","307368001","68.81","3.07e-7","6.40e-8","-2.1","-","1e-8","0","bin262.log"
"Oct 01 2010","2455471","307627201","147.74","4.21e-7","6.70e-8","-2.1","-","1e-8","0","bin263.log"
"Oct 04 2010","2455474","307886401","149.35","3.50e-7","6.10e-8","-2.1","-","1e-8","0","bin264.log"
"Oct 07 2010","2455477","308145601","116.8","3.25e-7","6.00e-8","-2.1","-","1e-8","0","bin265.log"
"Oct 10 2010","2455480","308404801","108.64","2.74e-7","5.40e-8","-2.1","-","1e-8","0","bin266.log"
"Oct 13 2010","2455483","308664001","76.44","2.33e-7","5.40e-8","-2.1","-","1e-8","0","bin267.log"
"Oct 16 2010","2455486","308923201","68.37","1.88e-7","4.40e-8","-2.1","-","1e-8","0","bin268.log"
"Oct 19 2010","2455489","309182401","76.78","2.31e-7","5.20e-8","-2.1","-","1e-8","0","bin269.log"
"Oct 22 2010","2455492","309441601","63.57","2.07e-7","4.90e-8","-2.1","-","1e-8","0","bin270.log"
"Oct 25 2010","2455495","309700801","80.77","2.45e-7","5.20e-8","-2.1","-","1e-8","0","bin271.log"
"Oct 28 2010","2455498","309960001","84.61","2.36e-7","4.80e-8","-2.1","-","1e-8","0","bin272.log"
"Oct 31 2010","2455501","310219201","27.44","9.44e-8","3.42e-8","-2.1","-","1e-8","0","bin273.log"
"Nov 03 2010","2455504","310478401","58.34","1.82e-7","4.70e-8","-2.1","-","1e-8","0","bin274.log"
"Nov 06 2010","2455507","310737601","54.33","2.04e-7","5.10e-8","-2.1","-","1e-8","0","bin275.log"
"Nov 09 2010","2455510","310996801","33.66","1.88e-7","5.10e-8","-2.1","-","1e-8","0","bin276.log"
"Nov 12 2010","2455513","311256001","34.1","1.76e-7","5.10e-8","-2.1","-","1e-8","0","bin277.log"
"Nov 15 2010","2455516","311515201","71.55","2.85e-7","6.00e-8","-2.1","-","1e-8","0","bin278.log"
"Nov 18 2010","2455519","311774401","39.6","2.04e-7","5.30e-8","-2.1","-","1e-8","0","bin279.log"
"Nov 21 2010","2455522","312033601","30.57","1.73e-7","5.00e-8","-2.1","-","1e-8","0","bin280.log"
"Nov 27 2010","2455528","312552001","30.54","1.59e-7","4.70e-8","-2.1","-","1e-8","0","bin282.log"
"Nov 30 2010","2455531","312811201","70.38","2.11e-7","4.90e-8","-2.1","-","1e-8","0","bin283.log"
"Dec 03 2010","2455534","313070401","129.07","3.06e-7","5.50e-8","-2.1","-","1e-8","0","bin284.log"
"Dec 06 2010","2455537","313329601","243.77","4.00e-7","5.60e-8","-2.1","-","1e-8","0","bin285.log"
"Dec 09 2010","2455540","313588801","149.35","3.58e-7","5.80e-8","-2.1","-","1e-8","0","bin286.log"
"Dec 12 2010","2455543","313848001","234.93","4.92e-7","6.80e-8","-2.1","-","1e-8","0","bin287.log"
"Dec 15 2010","2455546","314107201","119.27","3.51e-7","6.00e-8","-2.1","-","1e-8","0","bin288.log"
"Dec 18 2010","2455549","314366401","145.86","3.11e-7","5.30e-8","-2.1","-","1e-8","0","bin289.log"
"Dec 21 2010","2455552","314625601","110.8","2.58e-7","4.80e-8","-2.1","-","1e-8","0","bin290.log"
"Dec 24 2010","2455555","314884801","217.15","5.00e-7","6.80e-8","-2.1","-","1e-8","0","bin291.log"
"Dec 27 2010","2455558","315144001","175.86","4.01e-7","6.40e-8","-2.1","-","1e-8","0","bin292.log"
"Dec 30 2010","2455561","315403201","91.68","3.85e-7","7.50e-8","-2.1","-","1e-8","0","bin293.log"
"Jan 02 2011","2455564","315662401","99.98","3.79e-7","7.10e-8","-2.1","-","1e-8","0","bin294.log"
"Jan 05 2011","2455567","315921601","36.27","2.30e-7","5.90e-8","-2.1","-","1e-8","0","bin295.log"
"Jan 08 2011","2455570","316180801","49.07","2.21e-7","5.40e-8","-2.1","-","1e-8","0","bin296.log"
"Jan 11 2011","2455573","316440001","38.2","1.67e-7","4.70e-8","-2.1","-","1e-8","0","bin297.log"
"Jan 14 2011","2455576","316699201","27.31","1.52e-7","5.00e-8","-2.1","-","1e-8","0","bin298.log"
"Jan 17 2011","2455579","316958401","33.87","1.47e-7","4.60e-8","-2.1","-","1e-8","0","bin299.log"
"Jan 20 2011","2455582","317217601","114.59","3.81e-7","6.50e-8","-2.1","-","1e-8","0","bin300.log"
"Jan 23 2011","2455585","317476801","7.58","7.17e-8","3.97e-8","-2.1","-","1e-8","0","bin301.log"
"Jan 26 2011","2455588","317736001","20.86","1.20e-7","4.05e-8","-2.1","-","1e-8","0","bin302.log"
"Jan 29 2011","2455591","317995201","23.13","1.12e-7","3.99e-8","-2.1","-","1e-8","0","bin303.log"
"Feb 01 2011","2455593","318254401","18.09","1.14e-7","4.20e-8","-2.1","-","1e-8","0","bin304.log"
"Feb 04 2011","2455596","318513601","16.82","8.54e-8","3.32e-8","-2.1","-","1e-8","0","bin305.log"
"Feb 07 2011","2455599","318772801","2.06","< 9.73e-8","-","-","-","1e-8","0","bin306.log"
"Feb 10 2011","2455602","319032001","20.4","8.18e-8","3.30e-8","-2.1","-","1e-8","0","bin307.log"
"Feb 13 2011","2455605","319291201","2.68","< 1.22e-7","-","-","-","1e-8","0","bin308.log"
"Feb 16 2011","2455608","319550401","19.57","1.07e-7","3.81e-8","-2.1","-","1e-8","0","bin309.log"
"Feb 19 2011","2455611","319809601","9.26","8.24e-8","3.92e-8","-2.1","-","1e-8","0","bin310.log"
"Feb 22 2011","2455614","320068801","7.68","8.74e-8","4.25e-8","-2.1","-","1e-8","0","bin311.log"
"Feb 25 2011","2455617","320328001","9.82","1.06e-7","4.79e-8","-2.1","-","1e-8","0","bin312.log"
"Feb 28 2011","2455620","320587201","16.69","4.37e-8","2.65e-8","-2.1","-","1e-8","0","bin313.log"
"Mar 03 2011","2455626","320846401","6.18","6.63e-8","3.99e-8","-2.1","-","1e-8","0","bin314.log"
"Mar 06 2011","2455629","321105601","0","< 8.78e-8","-","-","-","1e-8","0","bin315.log"
"Mar 09 2011","2455632","321364801","1.98","< 1.21e-7","-","-","-","1e-8","0","bin316.log"
"Mar 12 2011","2455635","321624001","0","< 4.69e-8","-","-","-","1e-8","0","bin317.log"
"Mar 15 2011","2455638","321883201","12.2","8.48e-8","3.93e-8","-2.1","-","1e-8","0","bin318.log"
"Mar 18 2011","2455641","322142401","0.01","< 7.67e-8","-","-","-","1e-8","0","bin319.log"
"Mar 21 2011","2455644","322401601","3.57","< 1.18e-7","-","-","-","1e-8","0","bin320.log"
"Mar 24 2011","2455647","322660801","38.76","1.54e-7","4.40e-8","-2.1","-","1e-8","0","bin321.log"
"Mar 27 2011","2455650","322920001","7.56","6.11e-8","3.52e-8","-2.1","-","1e-8","0","bin322.log"
"Mar 30 2011","2455653","323179201","0","< 6.26e-8","-","-","-","1e-8","0","bin323.log"
"Apr 02 2011","2455655","323438401","15.24","8.77e-8","3.40e-8","-2.1","-","1e-8","0","bin324.log"
"Apr 05 2011","2455658","323697601","15.61","8.20e-8","3.43e-8","-2.1","-","1e-8","0","bin325.log"
"Apr 08 2011","2455661","323956801","11.33","7.13e-8","3.35e-8","-2.1","-","1e-8","0","bin326.log"
"Apr 11 2011","2455664","324216001","0","< 5.63e-8","-","-","-","1e-8","0","bin327.log"
"Apr 14 2011","2455667","324475201","0.42","< 1.28e-7","-","-","-","1e-8","0","bin328.log"
"Apr 17 2011","2455670","324734401","7.07","7.73e-8","5.39e-8","-2.1","-","1e-8","0","bin329.log"
"Apr 20 2011","2455673","324993601","0.31","< 1.01e-7","-","-","-","1e-8","0","bin330.log"
"Apr 23 2011","2455676","325252801","28.93","9.66e-8","3.49e-8","-2.1","-","1e-8","0","bin331.log"
"Apr 26 2011","2455679","325512001","1.92","< 1.01e-7","-","-","-","1e-8","0","bin332.log"
"Apr 29 2011","2455682","325771201","3.84","< 1.52e-7","-","-","-","1e-8","0","bin333.log"
"May 02 2011","2455685","326030401","8.32","6.93e-8","3.64e-8","-2.1","-","1e-8","0","bin334.log"
"May 05 2011","2455688","326289601","8.19","7.95e-8","3.97e-8","-2.1","-","1e-8","0","bin335.log"
"May 08 2011","2455691","326548801","4.73","4.41e-8","2.92e-8","-2.1","-","1e-8","0","bin336.log"
"May 11 2011","2455694","326808001","0","< 5.72e-8","-","-","-","1e-8","0","bin337.log"
"May 14 2011","2455697","327067201","0","< 5.00e-8","-","-","-","1e-8","0","bin338.log"
"May 17 2011","2455700","327326401","28.5","1.13e-7","3.74e-8","-2.1","-","1e-8","0","bin339.log"
"May 20 2011","2455703","327585601","3.58","< 9.12e-8","-","-","-","1e-8","0","bin340.log"
"May 23 2011","2455706","327844801","43.38","1.48e-7","4.10e-8","-2.1","-","1e-8","0","bin341.log"
"May 26 2011","2455709","328104001","8.48","4.31e-8","2.71e-8","-2.1","-","1e-8","0","bin342.log"
"May 29 2011","2455712","328363201","15.96","5.31e-8","2.64e-8","-2.1","-","1e-8","0","bin343.log"
"Jun 01 2011","2455715","328622401","3.6","< 1.02e-7","-","-","-","1e-8","0","bin344.log"
"Jun 04 2011","2455718","328881601","1.16","< 8.97e-8","-","-","-","1e-8","0","bin345.log"
"Jun 07 2011","2455721","329140801","2.83","< 8.70e-8","-","-","-","1e-8","0","bin346.log"
"Jun 10 2011","2455724","329400001","4.03","6.31e-8","4.02e-8","-2.1","-","1e-8","0","bin347.log"
"Jun 13 2011","2455727","329659201","0","< 7.19e-8","-","-","-","1e-8","0","bin348.log"
"Jun 16 2011","2455730","329918401","7.6","5.95e-8","3.46e-8","-2.1","-","1e-8","0","bin349.log"
"Jun 19 2011","2455733","330177601","11.86","6.02e-8","3.40e-8","-2.1","-","1e-8","0","bin350.log"
"Jun 22 2011","2455736","330436801","7.92","6.75e-8","3.56e-8","-2.1","-","1e-8","0","bin351.log"
"Jun 25 2011","2455739","330696001","0","< 6.69e-8","-","-","-","1e-8","0","bin352.log"
"Jun 28 2011","2455742","330955201","0","< 6.25e-8","-","-","-","1e-8","0","bin353.log"
"Jul 01 2011","2455745","331214401","0.66","< 9.87e-8","-","-","-","1e-8","0","bin354.log"
"Jul 04 2011","2455748","331473601","0","< 5.81e-8","-","-","-","1e-8","0","bin355.log"
"Jul 07 2011","2455751","331732801","0.61","< 5.98e-8","-","-","-","1e-8","0","bin356.log"
"Jul 10 2011","2455754","331992001","1.77","< 7.97e-8","-","-","-","1e-8","0","bin357.log"
"Jul 13 2011","2455757","332251201","27.98","1.15e-7","3.90e-8","-2.1","-","1e-8","0","bin358.log"
"Jul 16 2011","2455760","332510401","20.48","1.16e-7","4.16e-8","-2.1","-","1e-8","0","bin359.log"
"Jul 19 2011","2455763","332769601","2.65","< 7.93e-8","-","-","-","1e-8","0","bin360.log"
"Jul 22 2011","2455766","333028801","35.76","1.78e-7","4.90e-8","-2.1","-","1e-8","0","bin361.log"
"Jul 25 2011","2455769","333288001","81.85","2.44e-7","5.00e-8","-2.1","-","1e-8","0","bin362.log"
"Jul 28 2011","2455772","333547201","25.73","1.35e-7","4.08e-8","-2.1","-","1e-8","0","bin363.log"
"Jul 31 2011","2455775","333806401","23.45","1.35e-7","4.43e-8","-2.1","-","1e-8","0","bin364.log"
"Aug 03 2011","2455778","334065601","5.77","6.72e-8","3.92e-8","-2.1","-","1e-8","0","bin365.log"
"Aug 06 2011","2455781","334324801","16.26","8.53e-8","4.05e-8","-2.1","-","1e-8","0","bin366.log"
"Aug 09 2011","2455784","334584001","19.95","1.28e-7","4.53e-8","-2.1","-","1e-8","0","bin367.log"
"Aug 12 2011","2455787","334843201","7.61","7.50e-8","3.73e-8","-2.1","-","1e-8","0","bin368.log"
"Aug 15 2011","2455790","335102401","2.43","< 1.17e-7","-","-","-","1e-8","0","bin369.log"
"Aug 18 2011","2455793","335361601","29.21","1.84e-7","5.20e-8","-2.1","-","1e-8","0","bin370.log"
"Aug 21 2011","2455796","335620801","25.18","1.21e-7","4.44e-8","-2.1","-","1e-8","0","bin371.log"
"Aug 24 2011","2455799","335880001","0","< 5.44e-8","-","-","-","1e-8","0","bin372.log"
"Aug 27 2011","2455802","336139201","13.98","1.26e-7","4.58e-8","-2.1","-","1e-8","0","bin373.log"
"Aug 30 2011","2455805","336398401","7.95","6.73e-8","3.67e-8","-2.1","-","1e-8","0","bin374.log"
"Sep 02 2011","2455807","336657601","0","< 7.45e-8","-","-","-","1e-8","0","bin375.log"
"Sep 05 2011","2455810","336916801","6.35","7.29e-8","4.03e-8","-2.1","-","1e-8","0","bin376.log"
"Sep 08 2011","2455813","337176001","18.89","7.27e-8","2.56e-8","-2.1","-","1e-8","0","bin377.log"
"Sep 11 2011","2455816","337435201","8.68","6.29e-8","2.84e-8","-2.1","-","1e-8","0","bin378.log"
"Sep 14 2011","2455819","337694401","0.11","< 6.08e-8","-","-","-","1e-8","0","bin379.log"
"Sep 17 2011","2455822","337953601","1.11","< 8.13e-8","-","-","-","1e-8","0","bin380.log"
"Sep 20 2011","2455825","338212801","4.21","3.40e-8","2.66e-8","-2.1","-","1e-8","0","bin381.log"
"Sep 23 2011","2455828","338472001","14.82","6.33e-8","3.29e-8","-2.1","-","1e-8","0","bin382.log"
"Sep 26 2011","2455831","338731201","12.61","9.95e-8","4.19e-8","-2.1","-","1e-8","0","bin383.log"
"Sep 29 2011","2455834","338990401","15.86","9.55e-8","4.04e-8","-2.1","-","1e-8","0","bin384.log"
"Oct 02 2011","2455838","339249601","82.72","3.35e-7","6.60e-8","-2.1","-","1e-8","0","bin385.log"
"Oct 05 2011","2455841","339508801","88.39","2.76e-7","5.80e-8","-2.1","-","1e-8","0","bin386.log"
"Oct 08 2011","2455844","339768001","11.87","7.16e-8","3.46e-8","-2.1","-","1e-8","0","bin387.log"
"Oct 11 2011","2455847","340027201","150.6","3.81e-7","5.90e-8","-2.1","-","1e-8","0","bin388.log"
"Oct 14 2011","2455850","340286401","133.22","3.74e-7","5.90e-8","-2.1","-","1e-8","0","bin389.log"
"Oct 17 2011","2455853","340545601","47.8","1.61e-7","4.40e-8","-2.1","-","1e-8","0","bin390.log"
"Oct 20 2011","2455856","340804801","89.52","3.14e-7","6.00e-8","-2.1","-","1e-8","0","bin391.log"
"Oct 23 2011","2455859","341064001","102.38","2.86e-7","5.20e-8","-2.1","-","1e-8","0","bin392.log"
"Oct 26 2011","2455862","341323201","94.01","2.38e-7","4.90e-8","-2.1","-","1e-8","0","bin393.log"
"Oct 29 2011","2455865","341582401","18.72","8.61e-8","3.31e-8","-2.1","-","1e-8","0","bin394.log"
"Nov 01 2011","2455867","341841601","18.56","1.12e-7","4.16e-8","-2.1","-","1e-8","0","bin395.log"
"Nov 04 2011","2455870","342100801","0.92","< 9.11e-8","-","-","-","1e-8","0","bin396.log"
"Nov 07 2011","2455873","342360001","17.5","7.84e-8","3.20e-8","-2.1","-","1e-8","0","bin397.log"
"Nov 10 2011","2455876","342619201","83.08","2.47e-7","5.30e-8","-2.1","-","1e-8","0","bin398.log"
"Nov 13 2011","2455879","342878401","27.45","1.12e-7","3.80e-8","-2.1","-","1e-8","0","bin399.log"
"Nov 16 2011","2455882","343137601","15.57","7.92e-8","3.57e-8","-2.1","-","1e-8","0","bin400.log"
"Nov 19 2011","2455885","343396801","6.94","6.16e-8","3.26e-8","-2.1","-","1e-8","0","bin401.log"
"Nov 22 2011","2455888","343656001","19.64","1.01e-7","3.78e-8","-2.1","-","1e-8","0","bin402.log"
"Nov 25 2011","2455891","343915201","0.26","< 7.61e-8","-","-","-","1e-8","0","bin403.log"
"Nov 28 2011","2455894","344174401","15.67","5.05e-8","2.71e-8","-2.1","-","1e-8","0","bin404.log"
"Dec 01 2011","2455898","344433601","6.59","3.84e-8","2.48e-8","-2.1","-","1e-8","0","bin405.log"
"Dec 04 2011","2455901","344692801","7.71","6.09e-8","3.14e-8","-2.1","-","1e-8","0","bin406.log"
"Dec 07 2011","2455904","344952001","6.38","4.46e-8","2.74e-8","-2.1","-","1e-8","0","bin407.log"
"Dec 10 2011","2455907","345211201","1.85","< 6.73e-8","-","-","-","1e-8","0","bin408.log"
"Dec 13 2011","2455910","345470401","0.75","< 6.98e-8","-","-","-","1e-8","0","bin409.log"
"Dec 16 2011","2455913","345729601","0.11","< 5.83e-8","-","-","-","1e-8","0","bin410.log"
"Dec 19 2011","2455916","345988801","6.67","4.73e-8","2.87e-8","-2.1","-","1e-8","0","bin411.log"
"Dec 22 2011","2455919","346248001","0.34","< 5.61e-8","-","-","-","1e-8","0","bin412.log"
"Dec 25 2011","2455922","346507201","1.08","< 8.76e-8","-","-","-","1e-8","0","bin413.log"
"Dec 28 2011","2455925","346766401","0.46","< 7.90e-8","-","-","-","1e-8","0","bin414.log"
"Dec 31 2011","2455928","347025601","2.01","< 5.82e-8","-","-","-","1e-8","0","bin415.log"
"Jan 03 2012","2455930","347284801","5.17","6.41e-8","3.65e-8","-2.1","-","1e-8","0","bin416.log"
"Jan 06 2012","2455933","347544001","0.27","< 5.85e-8","-","-","-","1e-8","0","bin417.log"
"Jan 09 2012","2455936","347803201","0","< 4.46e-8","-","-","-","1e-8","0","bin418.log"
"Jan 12 2012","2455939","348062401","0","< 4.63e-8","-","-","-","1e-8","0","bin419.log"
"Jan 15 2012","2455942","348321601","0","< 4.89e-8","-","-","-","1e-8","0","bin420.log"
"Jan 18 2012","2455945","348580801","0.17","< 6.52e-8","-","-","-","1e-8","0","bin421.log"
"Jan 21 2012","2455948","348840001","2.45","< 1.05e-7","-","-","-","1e-8","0","bin422.log"
"Jan 24 2012","2455951","349099201","1.02","< 7.40e-8","-","-","-","1e-8","0","bin423.log"
"Jan 27 2012","2455954","349358401","0","< 5.45e-8","-","-","-","1e-8","0","bin424.log"
"Jan 30 2012","2455957","349617601","3.36","< 1.22e-7","-","-","-","1e-8","0","bin425.log"
"Feb 02 2012","2455959","349876801","13.22","4.83e-8","2.90e-8","-2.1","-","1e-8","0","bin426.log"
"Feb 05 2012","2455962","350136001","16.29","8.04e-8","3.83e-8","-2.1","-","1e-8","0","bin427.log"
"Feb 08 2012","2455965","350395201","3.06","< 1.25e-7","-","-","-","1e-8","0","bin428.log"
"Feb 11 2012","2455968","350654401","0","< 4.59e-8","-","-","-","1e-8","0","bin429.log"
"Feb 14 2012","2455971","350913601","8.35","4.00e-8","2.69e-8","-2.1","-","1e-8","0","bin430.log"
"Feb 17 2012","2455974","351172801","0","< 6.33e-8","-","-","-","1e-8","0","bin431.log"
"Feb 20 2012","2455977","351432001","11.43","8.91e-8","3.96e-8","-2.1","-","1e-8","0","bin432.log"
"Feb 23 2012","2455980","351691201","0.45","< 8.81e-8","-","-","-","1e-8","0","bin433.log"
"Feb 26 2012","2455983","351950401","5.59","5.88e-8","3.47e-8","-2.1","-","1e-8","0","bin434.log"
"Feb 29 2012","2455986","352209601","4.9","4.31e-8","3.12e-8","-2.1","-","1e-8","0","bin435.log"
"Mar 03 2012","2455991","352468801","16.94","7.85e-8","3.44e-8","-2.1","-","1e-8","0","bin436.log"
"Mar 06 2012","2455994","352728001","82.67","3.07e-7","6.20e-8","-2.1","-","1e-8","0","bin437.log"
"Mar 09 2012","2455997","352987201","11.22","6.08e-8","3.34e-8","-2.1","-","1e-8","0","bin438.log"
"Mar 12 2012","2456000","353246401","6.33","7.55e-8","4.10e-8","-2.1","-","1e-8","0","bin439.log"
"Mar 15 2012","2456003","353505601","14.76","8.77e-8","3.74e-8","-2.1","-","1e-8","0","bin440.log"
"Mar 18 2012","2456006","353764801","0.56","< 5.99e-8","-","-","-","1e-8","0","bin441.log"
"Mar 21 2012","2456009","354024001","6.1","7.52e-8","4.15e-8","-2.1","-","1e-8","0","bin442.log"
"Mar 24 2012","2456012","354283201","0.51","< 9.92e-8","-","-","-","1e-8","0","bin443.log"
"Mar 27 2012","2456015","354542401","3.76","< 1.04e-7","-","-","-","1e-8","0","bin444.log"
"Mar 30 2012","2456018","354801601","3.59","< 1.31e-7","-","-","-","1e-8","0","bin445.log"
"Apr 02 2012","2456020","355060801","22.14","9.55e-8","3.60e-8","-2.1","-","1e-8","0","bin446.log"
"Apr 05 2012","2456023","355320001","56.92","1.72e-7","4.20e-8","-2.1","-","1e-8","0","bin447.log"
"Apr 08 2012","2456026","355579201","5.64","5.19e-8","3.29e-8","-2.1","-","1e-8","0","bin448.log"
"Apr 11 2012","2456029","355838401","32.9","1.42e-7","3.90e-8","-2.1","-","1e-8","0","bin449.log"
"Apr 14 2012","2456032","356097601","16.49","8.67e-8","3.44e-8","-2.1","-","1e-8","0","bin450.log"
"Apr 17 2012","2456035","356356801","16.02","2.29e-7","1.04e-7","-2.1","-","1e-8","0","bin451.log"
"Apr 20 2012","2456038","356616001","13.89","7.25e-8","3.19e-8","-2.1","-","1e-8","0","bin452.log"
"Apr 23 2012","2456041","356875201","3.52","< 1.28e-7","-","-","-","1e-8","0","bin453.log"
"Apr 26 2012","2456044","357134401","3.2","< 9.34e-8","-","-","-","1e-8","0","bin454.log"
"Apr 29 2012","2456047","357393601","14.27","9.21e-8","4.13e-8","-2.1","-","1e-8","0","bin455.log"
"May 02 2012","2456051","357652801","17.82","5.77e-8","3.10e-8","-2.1","-","1e-8","0","bin456.log"
"May 05 2012","2456054","357912001","60.57","2.26e-7","5.50e-8","-2.1","-","1e-8","0","bin457.log"
"May 08 2012","2456057","358171201","2.8","< 1.10e-7","-","-","-","1e-8","0","bin458.log"
"May 11 2012","2456060","358430401","6.45","6.38e-8","3.76e-8","-2.1","-","1e-8","0","bin459.log"
"May 14 2012","2456063","358689601","27.64","1.02e-7","3.84e-8","-2.1","-","1e-8","0","bin460.log"
"May 17 2012","2456066","358948801","16.96","8.58e-8","3.62e-8","-2.1","-","1e-8","0","bin461.log"
"May 20 2012","2456069","359208001","32.29","1.02e-7","3.63e-8","-2.1","-","1e-8","0","bin462.log"
"May 23 2012","2456072","359467201","80.56","2.17e-7","4.50e-8","-2.1","-","1e-8","0","bin463.log"
"May 26 2012","2456075","359726401","75.67","1.96e-7","4.70e-8","-2.1","-","1e-8","0","bin464.log"
"May 29 2012","2456078","359985601","50.49","2.28e-7","5.40e-8","-2.1","-","1e-8","0","bin465.log"
"Jun 01 2012","2456080","360244801","38.42","1.27e-7","3.83e-8","-2.1","-","1e-8","0","bin466.log"
"Jun 04 2012","2456083","360504001","34.47","1.12e-7","3.63e-8","-2.1","-","1e-8","0","bin467.log"
"Jun 07 2012","2456086","360763201","10.23","6.85e-8","3.16e-8","-2.1","-","1e-8","0","bin468.log"
"Jun 10 2012","2456089","361022401","25.9","9.40e-8","3.34e-8","-2.1","-","1e-8","0","bin469.log"
"Jun 13 2012","2456092","361281601","18.22","7.71e-8","3.45e-8","-2.1","-","1e-8","0","bin470.log"
"Jun 16 2012","2456095","361540801","12.94","9.47e-8","4.02e-8","-2.1","-","1e-8","0","bin471.log"
"Jun 19 2012","2456098","361800001","27.71","1.35e-7","4.66e-8","-2.1","-","1e-8","0","bin472.log"
"Jun 22 2012","2456101","362059201","88.13","3.48e-7","6.60e-8","-2.1","-","1e-8","0","bin473.log"
"Jun 25 2012","2456104","362318401","80.72","2.59e-7","5.70e-8","-2.1","-","1e-8","0","bin474.log"
"Jun 28 2012","2456107","362577601","24.98","1.27e-7","4.41e-8","-2.1","-","1e-8","0","bin475.log"
"Jul 01 2012","2456111","362836801","15.25","9.30e-8","4.19e-8","-2.1","-","1e-8","0","bin476.log"
"Jul 04 2012","2456114","363096001","13.77","6.11e-8","3.42e-8","-2.1","-","1e-8","0","bin477.log"
"Jul 07 2012","2456117","363355201","11.27","7.32e-8","5.02e-8","-2.1","-","1e-8","0","bin478.log"
"Jul 10 2012","2456120","363614401","16.8","7.20e-8","3.61e-8","-2.1","-","1e-8","0","bin479.log"
"Jul 13 2012","2456123","363873601","54.86","1.30e-7","3.69e-8","-2.1","-","1e-8","0","bin480.log"
"Jul 16 2012","2456126","364132801","1.59","< 8.90e-8","-","-","-","1e-8","0","bin481.log"
"Jul 19 2012","2456129","364392001","169.57","3.32e-7","5.40e-8","-2.1","-","1e-8","0","bin482.log"
"Jul 22 2012","2456132","364651201","38.83","1.45e-7","4.20e-8","-2.1","-","1e-8","0","bin483.log"
"Jul 25 2012","2456135","364910401","48.01","1.72e-7","4.50e-8","-2.1","-","1e-8","0","bin484.log"
"Jul 28 2012","2456138","365169601","25.62","1.03e-7","3.58e-8","-2.1","-","1e-8","0","bin485.log"
"Jul 31 2012","2456141","365428801","12.09","5.04e-8","2.52e-8","-2.1","-","1e-8","0","bin486.log"
"Aug 03 2012","2456143","365688001","79.63","1.77e-7","4.30e-8","-2.1","-","1e-8","0","bin487.log"
"Aug 06 2012","2456146","365947201","2.98","< 8.92e-8","-","-","-","1e-8","0","bin488.log"
"Aug 09 2012","2456149","366206401","19.58","8.73e-8","3.58e-8","-2.1","-","1e-8","0","bin489.log"
"Aug 12 2012","2456152","366465601","2.93","< 1.07e-7","-","-","-","1e-8","0","bin490.log"
"Aug 15 2012","2456155","366724801","3.28","< 1.20e-7","-","-","-","1e-8","0","bin491.log"
"Aug 18 2012","2456158","366984001","0","< 5.73e-8","-","-","-","1e-8","0","bin492.log"
"Aug 21 2012","2456161","367243201","3.59","< 9.80e-8","-","-","-","1e-8","0","bin493.log"
"Aug 24 2012","2456164","367502401","0.07","< 8.59e-8","-","-","-","1e-8","0","bin494.log"
"Aug 27 2012","2456167","367761601","22.63","8.40e-8","3.56e-8","-2.1","-","1e-8","0","bin495.log"
"Aug 30 2012","2456170","368020801","10.31","6.67e-8","3.44e-8","-2.1","-","1e-8","0","bin496.log"
