"Date(UTC)","Julian Date","MET","TS","Photon Flux [0.1-100 GeV](photons cm-2 s-1)","Photon Flux Error(photons cm-2 s-1)","Photon Index","Photon Index Error","Fit Tolerance","MINUIT Return Code","Analysis Log"
"Jan 18 2009","2454849","253972801","14.74","8.49e-8","3.87e-8","-2.1","-","1e-8","0","bin56.log"
"Jan 21 2009","2454852","254232001","10.92","1.02e-7","4.84e-8","-2.1","-","1e-8","0","bin57.log"
"Jan 24 2009","2454855","254491201","14.49","8.44e-8","3.52e-8","-2.1","-","1e-8","0","bin58.log"
"Jan 27 2009","2454858","254750401","14.63","8.69e-8","3.99e-8","-2.1","-","1e-8","0","bin59.log"
"Jan 30 2009","2454861","255009601","3.53","< 7.63e-8","-","-","-","1e-8","0","bin60.log"
"Feb 02 2009","2454864","255268801","3.51","< 1.12e-7","-","-","-","1e-8","0","bin61.log"
"Feb 05 2009","2454867","255528001","5.03","4.37e-8","2.65e-8","-2.1","-","1e-8","0","bin62.log"
"Feb 08 2009","2454870","255787201","10.51","7.66e-8","3.30e-8","-2.1","-","1e-8","0","bin63.log"
"Feb 11 2009","2454873","256046401","6.93","5.32e-8","2.79e-8","-2.1","-","1e-8","0","bin64.log"
"Feb 14 2009","2454876","256305601","29","1.04e-7","3.43e-8","-2.1","-","1e-8","0","bin65.log"
"Feb 17 2009","2454879","256564801","21.64","8.37e-8","2.97e-8","-2.1","-","1e-8","0","bin66.log"
"Feb 20 2009","2454882","256824001","23.48","1.18e-7","3.67e-8","-2.1","-","1e-8","0","bin67.log"
"Feb 23 2009","2454885","257083201","11.05","6.49e-8","3.05e-8","-2.1","-","1e-8","0","bin68.log"
"Feb 26 2009","2454888","257342401","4.94","3.37e-8","2.11e-8","-2.1","-","1e-8","0","bin69.log"
"Mar 01 2009","2454893","257601601","0.16","< 7.34e-8","-","-","-","1e-8","0","bin70.log"
"Mar 04 2009","2454896","257860801","4.52","2.73e-8","2.12e-8","-2.1","-","1e-8","0","bin71.log"
"Mar 07 2009","2454899","258120001","22.47","1.28e-7","4.21e-8","-2.1","-","1e-8","0","bin72.log"
"Mar 10 2009","2454902","258379201","28.97","1.19e-7","5.03e-8","-2.1","-","1e-8","0","bin73.log"
"Mar 16 2009","2454908","258897601","24.25","1.68e-7","6.20e-8","-2.1","-","1e-8","0","bin75.log"
"Mar 19 2009","2454911","259156801","40.39","1.12e-7","3.69e-8","-2.1","-","1e-8","0","bin76.log"
"Mar 22 2009","2454914","259416001","38.25","1.37e-7","3.95e-8","-2.1","-","1e-8","0","bin77.log"
"Mar 25 2009","2454917","259675201","49.91","1.41e-7","3.80e-8","-2.1","-","1e-8","0","bin78.log"
"Mar 28 2009","2454920","259934401","23.95","9.61e-8","3.33e-8","-2.1","-","1e-8","0","bin79.log"
"Mar 31 2009","2454923","260193601","47.92","1.39e-7","3.92e-8","-2.1","-","1e-8","0","bin80.log"
"Apr 03 2009","2454926","260452801","14.76","5.76e-8","2.60e-8","-2.1","-","1e-8","0","bin81.log"
"Apr 06 2009","2454929","260712001","29.32","1.11e-7","3.42e-8","-2.1","-","1e-8","0","bin82.log"
"Apr 09 2009","2454932","260971201","10.07","4.21e-8","2.28e-8","-2.1","-","1e-8","0","bin83.log"
"Apr 12 2009","2454935","261230401","5.38","5.96e-8","3.14e-8","-2.1","-","1e-8","0","bin84.log"
"Apr 15 2009","2454938","261489601","23.08","8.40e-8","3.01e-8","-2.1","-","1e-8","0","bin85.log"
"Apr 18 2009","2454941","261748801","90.64","2.01e-7","4.10e-8","-2.1","-","1e-8","0","bin86.log"
"Apr 21 2009","2454944","262008001","62.91","2.09e-7","4.60e-8","-2.1","-","1e-8","0","bin87.log"
"Apr 24 2009","2454947","262267201","67.48","2.09e-7","4.70e-8","-2.1","-","1e-8","0","bin88.log"
"Apr 27 2009","2454950","262526401","25.21","1.07e-7","3.63e-8","-2.1","-","1e-8","0","bin89.log"
"Apr 30 2009","2454953","262785601","8.73","5.97e-8","3.35e-8","-2.1","-","1e-8","0","bin90.log"
"May 03 2009","2454956","263044801","15.04","9.80e-8","4.61e-8","-2.1","-","1e-8","0","bin91.log"
"May 06 2009","2454959","263304001","11.97","1.02e-7","4.38e-8","-2.1","-","1e-8","0","bin92.log"
"May 09 2009","2454962","263563201","17.56","8.68e-8","3.95e-8","-2.1","-","1e-8","0","bin93.log"
"May 12 2009","2454965","263822401","0.91","< 8.51e-8","-","-","-","1e-8","0","bin94.log"
"May 15 2009","2454968","264081601","9.57","4.39e-8","2.50e-8","-2.1","-","1e-8","0","bin95.log"
"May 18 2009","2454971","264340801","3.76","< 1.08e-7","-","-","-","1e-8","0","bin96.log"
"May 21 2009","2454974","264600001","1.2","< 8.19e-8","-","-","-","1e-8","0","bin97.log"
"May 24 2009","2454977","264859201","2.19","< 6.27e-8","-","-","-","1e-8","0","bin98.log"
"May 27 2009","2454980","265118401","16.44","7.66e-8","3.13e-8","-2.1","-","1e-8","0","bin99.log"
"May 30 2009","2454983","265377601","7.09","4.52e-8","2.58e-8","-2.1","-","1e-8","0","bin100.log"
"Jun 02 2009","2454985","265636801","19.38","6.29e-8","2.58e-8","-2.1","-","1e-8","0","bin101.log"
"Jun 05 2009","2454988","265896001","12.75","3.80e-8","2.03e-8","-2.1","-","1e-8","0","bin102.log"
"Jun 08 2009","2454991","266155201","39.54","1.31e-7","3.55e-8","-2.1","-","1e-8","0","bin103.log"
"Jun 11 2009","2454994","266414401","8.31","6.63e-8","3.18e-8","-2.1","-","1e-8","0","bin104.log"
"Jun 14 2009","2454997","266673601","8.18","4.73e-8","2.60e-8","-2.1","-","1e-8","0","bin105.log"
"Jun 17 2009","2455000","266932801","12.5","9.30e-8","3.72e-8","-2.1","-","1e-8","0","bin106.log"
"Jun 20 2009","2455003","267192001","8.58","4.61e-8","2.73e-8","-2.1","-","1e-8","0","bin107.log"
"Jun 23 2009","2455006","267451201","6.02","4.85e-8","3.05e-8","-2.1","-","1e-8","0","bin108.log"
"Jun 26 2009","2455009","267710401","5.14","3.16e-8","2.67e-8","-2.1","-","1e-8","0","bin109.log"
"Jun 29 2009","2455012","267969601","8.18","7.61e-8","3.74e-8","-2.1","-","1e-8","0","bin110.log"
"Jul 02 2009","2455016","268228801","0","< 4.33e-8","-","-","-","1e-8","0","bin111.log"
"Jul 05 2009","2455019","268488001","0.83","< 7.50e-8","-","-","-","1e-8","0","bin112.log"
"Jul 08 2009","2455022","268747201","9.22","6.32e-8","3.18e-8","-2.1","-","1e-8","0","bin113.log"
"Jul 11 2009","2455025","269006401","2.26","< 8.90e-8","-","-","-","1e-8","0","bin114.log"
"Jul 14 2009","2455028","269265601","12.39","5.93e-8","2.76e-8","-2.1","-","1e-8","0","bin115.log"
"Jul 17 2009","2455031","269524801","7.34","5.53e-8","3.07e-8","-2.1","-","1e-8","0","bin116.log"
"Jul 20 2009","2455034","269784001","8.62","5.72e-8","2.91e-8","-2.1","-","1e-8","0","bin117.log"
"Jul 23 2009","2455037","270043201","5.04","5.01e-8","3.00e-8","-2.1","-","1e-8","0","bin118.log"
"Jul 26 2009","2455040","270302401","0","< 4.50e-8","-","-","-","1e-8","0","bin119.log"
"Jul 29 2009","2455043","270561601","0.66","< 4.72e-8","-","-","-","1e-8","0","bin120.log"
"Aug 01 2009","2455045","270820801","1.78","< 8.17e-8","-","-","-","1e-8","0","bin121.log"
"Aug 04 2009","2455048","271080001","11.59","5.52e-8","2.64e-8","-2.1","-","1e-8","0","bin122.log"
"Aug 07 2009","2455051","271339201","0.11","< 7.98e-8","-","-","-","1e-8","0","bin123.log"
"Aug 10 2009","2455054","271598401","0.93","< 5.88e-8","-","-","-","1e-8","0","bin124.log"
"Aug 13 2009","2455057","271857601","3.83","< 8.95e-8","-","-","-","1e-8","0","bin125.log"
"Aug 16 2009","2455060","272116801","0","< 5.05e-8","-","-","-","1e-8","0","bin126.log"
"Aug 19 2009","2455063","272376001","0","< 8.01e-8","-","-","-","1e-8","0","bin127.log"
"Aug 22 2009","2455066","272635201","0","< 5.05e-8","-","-","-","1e-8","0","bin128.log"
"Aug 25 2009","2455069","272894401","1.44","< 1.12e-7","-","-","-","1e-8","0","bin129.log"
"Aug 28 2009","2455072","273153601","0","< 3.50e-8","-","-","-","1e-8","0","bin130.log"
"Aug 31 2009","2455075","273412801","0.84","< 1.04e-7","-","-","-","1e-8","0","bin131.log"
"Sep 03 2009","2455078","273672001","0","< 7.08e-8","-","-","-","1e-8","0","bin132.log"
"Sep 06 2009","2455081","273931201","2.27","< 1.20e-7","-","-","-","1e-8","0","bin133.log"
"Sep 09 2009","2455084","274190401","31.17","1.95e-7","5.30e-8","-2.1","-","1e-8","0","bin134.log"
"Sep 12 2009","2455087","274449601","37.5","1.69e-7","4.80e-8","-2.1","-","1e-8","0","bin135.log"
"Sep 15 2009","2455090","274708801","29.24","1.25e-7","4.26e-8","-2.1","-","1e-8","0","bin136.log"
"Sep 18 2009","2455093","274968001","14.47","1.14e-7","4.69e-8","-2.1","-","1e-8","0","bin137.log"
"Sep 21 2009","2455096","275227201","6.16","2.71e-8","2.42e-8","-2.1","-","1e-8","0","bin138.log"
"Sep 24 2009","2455099","275486401","8.02","5.01e-8","2.93e-8","-2.1","-","1e-8","0","bin139.log"
"Sep 27 2009","2455102","275745601","6.43","4.93e-8","2.97e-8","-2.1","-","1e-8","0","bin140.log"
"Sep 30 2009","2455105","276004801","0","< 5.78e-8","-","-","-","1e-8","0","bin141.log"
"Oct 03 2009","2455108","276264001","14.77","6.01e-8","2.93e-8","-2.1","-","1e-8","0","bin142.log"
"Oct 06 2009","2455111","276523201","0","< 6.28e-8","-","-","-","1e-8","0","bin143.log"
